Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 8080.01, Cook County, Illinois",97.8,66.2,0.1,0,31.5,0,0,2.2
"Census Tract 8080.02, Cook County, Illinois",98.7,64.1,4.3,0.3,27.8,0,2.2,1.3
"Census Tract 8081, Cook County, Illinois",99.3,84.3,5.2,0.5,8,0,1.2,0.7
"Census Tract 8082, Cook County, Illinois",98.9,69.8,0,1.6,26.8,0,0.7,1.1
"Census Tract 8083.01, Cook County, Illinois",98.7,64.7,1.2,0.8,28,1,2.9,1.3
"Census Tract 8083.02, Cook County, Illinois",97.7,63.4,3.6,0,29.5,0,1.2,2.3
"Census Tract 8084, Cook County, Illinois",90.6,61.1,0.8,0.1,25,0,3.6,9.4
"Census Tract 8085, Cook County, Illinois",93.3,58.7,1.9,0,31,0,1.8,6.7
"Census Tract 8086, Cook County, Illinois",98.8,86.7,0.4,0,11.7,0,0,1.2
"Census Tract 8087.02, Cook County, Illinois",95.1,61.5,8,0.2,23.9,0,1.6,4.9
"Census Tract 8088, Cook County, Illinois",98.1,87.2,2.7,0,6.6,0,1.6,1.9
"Census Tract 8089, Cook County, Illinois",93.9,91.5,1.4,0,1.1,0,0,6.1
"Census Tract 8090, Cook County, Illinois",99.1,95,2.1,0,1.6,0,0.5,0.9
"Census Tract 8091, Cook County, Illinois",97.3,88.2,5.8,0,3.3,0,0,2.7
"Census Tract 8092, Cook County, Illinois",95.5,28.6,62.5,0,2.5,0,1.9,4.5
"Census Tract 8093, Cook County, Illinois",98.4,68,6.5,0,23.4,0,0.6,1.6
"Census Tract 8094, Cook County, Illinois",98.4,68.6,4.3,0.4,24.5,0,0.5,1.6
"Census Tract 8095, Cook County, Illinois",96.7,78.6,5.9,0,12.2,0,0,3.3
"Census Tract 8096, Cook County, Illinois",98.1,46.3,38.5,0,3.7,0,9.5,1.9
"Census Tract 8097, Cook County, Illinois",95.5,63,27.5,0,3.4,0,1.6,4.5
"Census Tract 8098, Cook County, Illinois",96.5,74.2,10.6,0.3,8.1,0,3.1,3.5
"Census Tract 8099, Cook County, Illinois",99.2,89,2.6,0,7.6,0,0,0.8
"Census Tract 8100, Cook County, Illinois",96.9,79.8,3.7,0,12.9,0,0.4,3.1
"Census Tract 8101, Cook County, Illinois",98.4,71.6,15.6,0,9,0,2.2,1.6
"Census Tract 8102, Cook County, Illinois",97.5,39,52.3,0,4,0,2.2,2.5
"Census Tract 8103.01, Cook County, Illinois",96.9,47.6,34.2,2.8,5.3,0,7.1,3.1
"Census Tract 8103.02, Cook County, Illinois",94.4,64.1,25,0,3.1,0,2.3,5.6
"Census Tract 8104, Cook County, Illinois",99.6,97.1,0,0,2.1,0,0.4,0.4
"Census Tract 8105.01, Cook County, Illinois",100,96.1,0.6,0,3.3,0,0,0
"Census Tract 8105.02, Cook County, Illinois",99,87.7,0.6,0,9,0,1.7,1
"Census Tract 8106, Cook County, Illinois",98.4,92,0.5,0,2,0,3.9,1.6
"Census Tract 8107.01, Cook County, Illinois",99,80.2,0.2,0.6,0.6,0,17.5,1
"Census Tract 8107.02, Cook County, Illinois",99.1,90.6,2.1,0,1.5,0,4.9,0.9
"Census Tract 8108, Cook County, Illinois",95.6,86.9,0.7,0,0.9,0,7.2,4.4
"Census Tract 8109, Cook County, Illinois",98.1,75.8,2.3,1.4,4.1,0,14.5,1.9
"Census Tract 8110, Cook County, Illinois",97.7,90,2.3,0,4.8,0,0.7,2.3
"Census Tract 8111, Cook County, Illinois",98.7,87.5,0.8,0,2.7,0,7.7,1.3
"Census Tract 8112, Cook County, Illinois",97.4,78.3,1.2,1.2,3.3,0,13.4,2.6
"Census Tract 8113.01, Cook County, Illinois",96.3,58.1,4,0.4,6.6,0,27.3,3.7
"Census Tract 8113.02, Cook County, Illinois",98.1,48.9,12.9,0,3.8,0,32.5,1.9
"Census Tract 8114.01, Cook County, Illinois",99,77.8,1.5,0,1.8,0,17.8,1
"Census Tract 8114.02, Cook County, Illinois",98.8,73.4,0.3,0,7.4,0,17.6,1.2
"Census Tract 8115, Cook County, Illinois",98,75.4,0.7,0,3,0,18.9,2
"Census Tract 8116, Cook County, Illinois",98.5,79.1,0.3,3.2,8,0,7.9,1.5
"Census Tract 8117.01, Cook County, Illinois",97.5,67.6,1.1,0.3,3,0,25.6,2.5
"Census Tract 8117.02, Cook County, Illinois",96.8,56.5,1.8,1.8,5.3,0,31.4,3.2
"Census Tract 8118, Cook County, Illinois",98.6,73.2,1,0,1.7,0,22.7,1.4
"Census Tract 8119, Cook County, Illinois",97.2,82.4,8.1,0.2,5.5,0,0.9,2.8
"Census Tract 8120, Cook County, Illinois",97.6,87.4,3.5,0,5.5,0,1.1,2.4
"Census Tract 8121, Cook County, Illinois",98.3,53.7,32.9,0.5,7.5,0,3.8,1.7
"Census Tract 8122, Cook County, Illinois",96.5,79.3,14,0,2.9,0,0.3,3.5
"Census Tract 8123.01, Cook County, Illinois",96.4,67.9,19.3,0,6.9,0,2.2,3.6
"Census Tract 8123.02, Cook County, Illinois",97.5,76.3,15.6,0,5.5,0,0,2.5
"Census Tract 8124, Cook County, Illinois",96.7,81.1,10.7,0,3.9,0,1,3.3
"Census Tract 8125, Cook County, Illinois",96.7,54,34.5,0,3.5,0,4.8,3.3
"Census Tract 8126, Cook County, Illinois",94.6,60.4,29.3,0,4.3,0,0.6,5.4
"Census Tract 8127, Cook County, Illinois",97.3,69.4,19.1,0.3,4.6,0,3.9,2.7
"Census Tract 8128.01, Cook County, Illinois",97,71,18.6,0,6,0,1.5,3
"Census Tract 8128.02, Cook County, Illinois",98.6,75,9.3,0,7.6,0,6.7,1.4
"Census Tract 8129, Cook County, Illinois",94.3,76.7,12.2,0,4.1,0,1.3,5.7
"Census Tract 8130, Cook County, Illinois",95.8,70,22.4,0,3.4,0,0,4.2
"Census Tract 8131, Cook County, Illinois",96.9,52.1,36.7,0.4,5.9,0,1.8,3.1
"Census Tract 8132, Cook County, Illinois",95.7,77.3,12.5,0,4.7,0,1.3,4.3
"Census Tract 8133.01, Cook County, Illinois",98.6,35.9,5.1,0,1.7,0,55.8,1.4
"Census Tract 8133.02, Cook County, Illinois",97.9,38.1,6.8,0,0,0,53,2.1
"Census Tract 8134, Cook County, Illinois",98.1,40.8,5.7,0.7,0.7,0,50.2,1.9
"Census Tract 8135, Cook County, Illinois",99.5,43,2.9,0.3,0,0,53.3,0.5
"Census Tract 8136, Cook County, Illinois",99.4,30.6,2,0.4,1,0,65.5,0.6
"Census Tract 8137.01, Cook County, Illinois",96.6,31,9.4,0.7,0,0,55.5,3.4
"Census Tract 8137.02, Cook County, Illinois",97.7,35.2,8.2,0,0,0,54.3,2.3
"Census Tract 8138.01, Cook County, Illinois",99.1,41.9,0.9,1.5,0,0,54.8,0.9
"Census Tract 8138.02, Cook County, Illinois",99.1,45.9,1.9,0,0,0.7,50.7,0.9
"Census Tract 8139, Cook County, Illinois",98.1,41.4,3,2.3,0,0,51.4,1.9
"Census Tract 8140, Cook County, Illinois",99.5,47.9,4.3,0.2,1.2,0,45.9,0.5
"Census Tract 8141, Cook County, Illinois",98.4,37.1,1.5,0,0,0,59.8,1.6
"Census Tract 8142, Cook County, Illinois",96.2,37.3,2.3,1.5,0,0,55.2,3.8
"Census Tract 8143, Cook County, Illinois",98.5,32.4,1.5,0.7,0,0,63.8,1.5
"Census Tract 8144, Cook County, Illinois",98.9,53.3,1,0.9,0.3,0,43.3,1.1
"Census Tract 8145, Cook County, Illinois",97.2,60.5,3.3,0,0.2,0,33.2,2.8
"Census Tract 8146, Cook County, Illinois",96,62.5,6.4,0,1.7,0,25.4,4
"Census Tract 8147, Cook County, Illinois",97.4,61.4,2.5,0,5.1,0,28.4,2.6
"Census Tract 8148, Cook County, Illinois",99.8,75.9,8.9,1.7,3.6,0,9.8,0.2
"Census Tract 8149, Cook County, Illinois",98.7,62.1,17,0.3,0,0,19.3,1.3
"Census Tract 8150, Cook County, Illinois",93.5,58,16.2,0,3.4,0,15.9,6.5
"Census Tract 8151, Cook County, Illinois",98.1,61.2,6.9,0,1.2,0,28.9,1.9
"Census Tract 8152, Cook County, Illinois",99,64.3,5,0,0.3,0,29.4,1
"Census Tract 8153, Cook County, Illinois",96.4,73.4,1.6,0,0.9,0,20.4,3.6
"Census Tract 8154, Cook County, Illinois",97.3,80.9,2.7,0,3.4,0,10.3,2.7
"Census Tract 8155, Cook County, Illinois",95.8,70,0.2,0.6,0.6,0,24.4,4.2
"Census Tract 8156, Cook County, Illinois",95.6,89.8,3.5,0,1.8,0,0.4,4.4
"Census Tract 8157.01, Cook County, Illinois",99.1,92.9,0,0,1.7,0,4.5,0.9
"Census Tract 8157.02, Cook County, Illinois",98.3,85.7,1.5,0,0.9,0,10.2,1.7
"Census Tract 8158, Cook County, Illinois",99.6,94.1,3.9,0,0.6,0,1,0.4
"Census Tract 8159, Cook County, Illinois",96.7,45.2,38.1,0,13,0,0.5,3.3
"Census Tract 8160, Cook County, Illinois",99.1,66.4,27.8,0,3.6,0,1.3,0.9
"Census Tract 8161, Cook County, Illinois",96.2,53.5,32.5,0.2,6.7,0,3.2,3.8
"Census Tract 8162, Cook County, Illinois",94.7,69.2,14,0.2,0.5,0,10.8,5.3
"Census Tract 8163, Cook County, Illinois",98.4,51.8,2.7,0,2.3,0,41.6,1.6
"Census Tract 8164.01, Cook County, Illinois",99.8,45.4,0.3,0,2,0,52,0.2
"Census Tract 8164.02, Cook County, Illinois",99.4,36.5,4.5,0,0,0.2,58.2,0.6
"Census Tract 8165, Cook County, Illinois",94.9,48.5,3.4,0.2,0.3,0,42.6,5.1
"Census Tract 8166, Cook County, Illinois",98,43.6,0.7,0,1.6,0,52.2,2
"Census Tract 8167, Cook County, Illinois",96,53.6,5.3,2,2.3,0,32.8,4
"Census Tract 8168, Cook County, Illinois",98.1,46.9,28.5,0.1,3.7,0,18.9,1.9
"Census Tract 8169, Cook County, Illinois",94.2,19.8,63.1,1,1.7,0,8.6,5.8
"Census Tract 8170, Cook County, Illinois",98.8,16.9,74,0,0,0,7.9,1.2
"Census Tract 8171.01, Cook County, Illinois",96.8,7.2,87.4,0,0.4,0,1.9,3.2
"Census Tract 8171.02, Cook County, Illinois",98.9,4.8,85,0,0,0,9.1,1.1
"Census Tract 8172, Cook County, Illinois",98.6,3.5,88.3,0,0,0,6.8,1.4
"Census Tract 8173, Cook County, Illinois",97.9,10.9,77.2,0,0.8,0,9,2.1
"Census Tract 8174, Cook County, Illinois",99.8,36.7,33.7,0,0,0,29.5,0.2
"Census Tract 8175, Cook County, Illinois",100,9.6,77,0,0,0,13.5,0
"Census Tract 8176, Cook County, Illinois",98.9,10.6,83.5,0,0.6,0,4.1,1.1
"Census Tract 8177, Cook County, Illinois",100,5.4,92.2,0.1,0.1,0,2.2,0
"Census Tract 8179, Cook County, Illinois",100,22.3,71.4,0,1.3,0,5,0
"Census Tract 8180, Cook County, Illinois",97.8,40.4,46.9,0.9,0.2,0,9.4,2.2
"Census Tract 8181, Cook County, Illinois",98.4,74.5,10.6,0,4.6,0,8.7,1.6
"Census Tract 8182, Cook County, Illinois",96,53.8,26.5,0,2.3,0,13.3,4
"Census Tract 8183, Cook County, Illinois",98.9,31.2,42.9,0,1.4,0,23.4,1.1
"Census Tract 8184.01, Cook County, Illinois",97.8,42.4,40.1,0.4,8.5,0,6.4,2.2
"Census Tract 8184.02, Cook County, Illinois",98.4,65.3,16.6,0,6.8,0,9.6,1.6
"Census Tract 8185, Cook County, Illinois",99,84.2,8,0,4.5,0,2.4,1
"Census Tract 8186, Cook County, Illinois",99.7,82.9,14,0,2.8,0,0,0.3
"Census Tract 8187, Cook County, Illinois",98.2,92.7,2.9,0,0,0,2.6,1.8
"Census Tract 8188, Cook County, Illinois",99.9,97.2,1.7,0,0.9,0,0.1,0.1
"Census Tract 8189, Cook County, Illinois",99.7,93.9,4.2,0,0.5,0,1.1,0.3
"Census Tract 8190, Cook County, Illinois",98.2,95.1,0.7,0,0.3,0,2.1,1.8
"Census Tract 8191, Cook County, Illinois",95.1,80,4.3,0,1.8,0,9,4.9
"Census Tract 8192, Cook County, Illinois",98.1,84.9,5.7,1.5,0.3,0,5.7,1.9
"Census Tract 8193, Cook County, Illinois",96.6,95,0,0,0.6,0,1,3.4
"Census Tract 8194, Cook County, Illinois",97.5,84.7,1.8,1,3.6,0,6.5,2.5
"Census Tract 8195, Cook County, Illinois",97.9,81.4,14.5,0,0.7,0,1.3,2.1
"Census Tract 8196, Cook County, Illinois",98.2,90.3,6,0,0.8,0,1.1,1.8
"Census Tract 8197, Cook County, Illinois",98.6,96.9,0,0,1.6,0,0.2,1.4
"Census Tract 8198.01, Cook County, Illinois",100,98.4,0.2,0,0.8,0,0.7,0
"Census Tract 8198.02, Cook County, Illinois",98.8,96.4,0.2,0,1.9,0,0.3,1.2
"Census Tract 8199, Cook County, Illinois",98,97.5,0.2,0,0.3,0,0,2
"Census Tract 8200, Cook County, Illinois",96.3,81.9,0.7,0,13.8,0,0,3.7
"Census Tract 8201.01, Cook County, Illinois",99.7,92.9,2.7,0,3.9,0,0.2,0.3
"Census Tract 8201.03, Cook County, Illinois",100,89.2,4.2,0,3.7,0,2.9,0
"Census Tract 8201.04, Cook County, Illinois",98.2,89,3.5,0.2,0.8,0,4.6,1.8
"Census Tract 8202.01, Cook County, Illinois",99.1,86.9,3.3,0,6.1,0,2.7,0.9
"Census Tract 8202.02, Cook County, Illinois",99.7,87.9,0.3,3.3,0.2,0,8,0.3
"Census Tract 8203, Cook County, Illinois",96.7,76.3,2.5,0,6.8,0,11.1,3.3
"Census Tract 8204, Cook County, Illinois",98.6,67.2,15.6,0.4,0,0,15.5,1.4
"Census Tract 8205.01, Cook County, Illinois",100,89.2,0.3,0.1,5.9,0,4.5,0
"Census Tract 8205.02, Cook County, Illinois",98.2,86.2,6.2,0.2,2.1,0,3.6,1.8
"Census Tract 8206.03, Cook County, Illinois",96.7,84.9,4.1,0.1,1.5,0,6.2,3.3
"Census Tract 8206.04, Cook County, Illinois",99,88.1,4.9,0,0,0,6,1
"Census Tract 8206.05, Cook County, Illinois",96.8,41.9,52.5,0,0,0,2.4,3.2
"Census Tract 8206.06, Cook County, Illinois",99.6,85.9,1,0.3,11.3,0,1.1,0.4
"Census Tract 8207, Cook County, Illinois",96.7,77.5,1.1,1.4,0.4,0,16.3,3.3
"Census Tract 8208, Cook County, Illinois",98.3,69.7,3.3,0,2,0,23.3,1.7
"Census Tract 8209.01, Cook County, Illinois",99.6,82.6,0.5,0.2,3,0,13.3,0.4
"Census Tract 8209.02, Cook County, Illinois",96.3,73.9,2.5,1.3,5.8,0,12.8,3.7
"Census Tract 8210.01, Cook County, Illinois",98.1,88.5,1.4,0,0.9,0,7.3,1.9
"Census Tract 8210.02, Cook County, Illinois",98.9,87.8,1.4,2.1,0.9,0,6.7,1.1
"Census Tract 8211.01, Cook County, Illinois",99.5,88.2,1.1,1.2,3.1,0,5.9,0.5
"Census Tract 8211.02, Cook County, Illinois",96.3,74.8,0.8,0,1,0,19.6,3.7
"Census Tract 8212, Cook County, Illinois",98.6,33.5,47.9,0,0,0,17.2,1.4
"Census Tract 8213, Cook County, Illinois",94.6,47.1,28.6,0,0.2,0,18.6,5.4
"Census Tract 8214.01, Cook County, Illinois",99.2,11,88.1,0,0,0,0,0.8
"Census Tract 8214.02, Cook County, Illinois",100,6.9,92.9,0,0,0,0.2,0
"Census Tract 8215, Cook County, Illinois",98.9,3.2,95.6,0,0,0,0,1.1
"Census Tract 8216, Cook County, Illinois",97.7,54.5,37.6,0,0.3,0,5.3,2.3
"Census Tract 8217, Cook County, Illinois",98.7,88.8,8.3,0,1.6,0,0,1.3
"Census Tract 8218, Cook County, Illinois",96.3,74.3,17.6,0,0.1,0,4.2,3.7
"Census Tract 8219, Cook County, Illinois",99.7,80.9,15.3,0,2.1,0,1.3,0.3
"Census Tract 8220, Cook County, Illinois",99.7,96.4,0,0,0,0,3.2,0.3
"Census Tract 8221.01, Cook County, Illinois",98.1,90.7,1.7,0,0.4,0,5.2,1.9
"Census Tract 8221.02, Cook County, Illinois",100,77.6,10.7,0,1,0,10.6,0
"Census Tract 8222, Cook County, Illinois",97.4,86.2,0.7,0.2,0.3,0,10,2.6
"Census Tract 8223.01, Cook County, Illinois",98.2,91.3,1,0,1.1,0,4.8,1.8
"Census Tract 8223.02, Cook County, Illinois",95.3,78.1,9.5,0.2,0,0,7.5,4.7
"Census Tract 8224, Cook County, Illinois",100,92.6,3.3,0,4.1,0,0,0
"Census Tract 8225, Cook County, Illinois",98.2,87.6,1.9,2.3,1.7,0,4.6,1.8
"Census Tract 8226.01, Cook County, Illinois",97,93.3,1,0.3,0.6,0,1.7,3
"Census Tract 8226.02, Cook County, Illinois",97.8,86,4.5,0,1.2,0,6.2,2.2
"Census Tract 8227.01, Cook County, Illinois",99,85.6,10.8,0,0.9,0,1.6,1
"Census Tract 8227.02, Cook County, Illinois",100,75.3,11.7,2.2,3,0,7.8,0
"Census Tract 8228.01, Cook County, Illinois",99.2,90.7,3.6,0,1,0,4,0.8
"Census Tract 8228.02, Cook County, Illinois",100,93,4.9,0,0.9,0,1.2,0
"Census Tract 8229, Cook County, Illinois",100,94.4,2.3,0,1.9,0,1.4,0
"Census Tract 8230.01, Cook County, Illinois",97.8,74.4,10.8,0,2.8,0,9.8,2.2
"Census Tract 8230.02, Cook County, Illinois",97.4,89,3,0,0.7,0,4.7,2.6
"Census Tract 8231.01, Cook County, Illinois",97.3,88,0.7,0,3.3,0,5.2,2.7
"Census Tract 8231.02, Cook County, Illinois",99.9,99.3,0.3,0.3,0,0,0,0.1
"Census Tract 8232, Cook County, Illinois",98.1,89,4.3,0.5,2.4,0,1.9,1.9
"Census Tract 8233.02, Cook County, Illinois",99.2,59.1,27.4,0,1.7,0,11,0.8
"Census Tract 8233.03, Cook County, Illinois",99.7,80.4,7.5,0,1.2,0,10.6,0.3
"Census Tract 8233.04, Cook County, Illinois",99,73,13.7,0.1,1.8,0,10.4,1
"Census Tract 8234, Cook County, Illinois",97.5,51.6,20.4,0.5,0,0,25.1,2.5
"Census Tract 8235, Cook County, Illinois",96.9,78.1,10.1,0.4,0.1,0,8.2,3.1
"Census Tract 8236.02, Cook County, Illinois",99.4,93.6,2.3,0,2,0,1.5,0.6
"Census Tract 8236.03, Cook County, Illinois",99.3,22,46.7,0,0,0,30.6,0.7
"Census Tract 8236.04, Cook County, Illinois",99.2,92.8,2.7,0,3.7,0,0,0.8
"Census Tract 8236.05, Cook County, Illinois",97.9,92.9,2.2,0,1.8,0,0.9,2.1
"Census Tract 8237.02, Cook County, Illinois",98.8,79.4,11.3,0.2,4.5,0,3.3,1.2
"Census Tract 8237.03, Cook County, Illinois",94.9,82.2,1.1,0,6.9,0,4.7,5.1
"Census Tract 8237.04, Cook County, Illinois",96,88.1,0.5,0,1.6,0,5.7,4
"Census Tract 8237.05, Cook County, Illinois",98.7,88.6,4.1,0,0.9,0,5,1.3
"Census Tract 8238.01, Cook County, Illinois",99.4,89.9,0.1,0,9.3,0,0,0.6
"Census Tract 8238.03, Cook County, Illinois",98.8,90.3,1.5,0,5.9,0,1.2,1.2
"Census Tract 8238.05, Cook County, Illinois",100,96,1.8,0,1,0,1.2,0
"Census Tract 8238.06, Cook County, Illinois",99.9,88.4,8.8,0.7,0,0,2.1,0.1
"Census Tract 8239.01, Cook County, Illinois",98.5,91.5,2.9,0,4.1,0,0,1.5
"Census Tract 8239.03, Cook County, Illinois",99.9,96,2.3,0,1.1,0,0.5,0.1
"Census Tract 8239.04, Cook County, Illinois",98.9,96.1,0.4,0,2.4,0,0,1.1
"Census Tract 8240.03, Cook County, Illinois",98.9,97.9,0.3,0,0.2,0,0.5,1.1
"Census Tract 8240.04, Cook County, Illinois",99.2,92.9,3.1,0,1.6,0,1.6,0.8
"Census Tract 8240.05, Cook County, Illinois",97.7,88.4,0.8,0,0.7,0,7.8,2.3
"Census Tract 8240.06, Cook County, Illinois",98,97.6,0,0,0.4,0,0,2
"Census Tract 8241.05, Cook County, Illinois",98.7,88.4,2.1,0,8.2,0,0,1.3
"Census Tract 8241.06, Cook County, Illinois",95.2,85.8,2.6,0.3,4.8,0,1.8,4.8
"Census Tract 8241.07, Cook County, Illinois",99.2,86.3,7.1,0,4.5,0,1.3,0.8
"Census Tract 8241.08, Cook County, Illinois",96.3,79.3,4.6,1,6.8,0,4.5,3.7
"Census Tract 8241.13, Cook County, Illinois",97.7,90.3,0.4,0,3.6,0,3.4,2.3
"Census Tract 8241.14, Cook County, Illinois",100,91.5,2.3,0,6.2,0,0,0
"Census Tract 8241.15, Cook County, Illinois",99.6,90,2.1,0,4.5,0,3,0.4
"Census Tract 8241.16, Cook County, Illinois",96.1,92.7,0.3,0.4,2.8,0,0,3.9
"Census Tract 8241.17, Cook County, Illinois",99.5,88.2,1.2,0,8.1,0,2,0.5
"Census Tract 8241.19, Cook County, Illinois",99.4,91,1.9,0,5.4,0,1.1,0.6
"Census Tract 8241.20, Cook County, Illinois",99.1,91.6,2.9,0,4.6,0,0,0.9
"Census Tract 8241.21, Cook County, Illinois",97,94.6,0.6,0,1.5,0,0.3,3
"Census Tract 8241.22, Cook County, Illinois",99,88.3,2.9,0,3.5,0.9,3.3,1
"Census Tract 8241.23, Cook County, Illinois",99.3,88.3,4.1,0,4.8,0,2.1,0.7
"Census Tract 8243, Cook County, Illinois",100,7.3,90.1,0.4,0.2,0,2,0
"Census Tract 8244, Cook County, Illinois",99.1,50.2,44.5,0,0,0,4.4,0.9
"Census Tract 8245.03, Cook County, Illinois",98.8,93,2.7,0,1.8,0,1.3,1.2
"Census Tract 8245.05, Cook County, Illinois",98.6,86.1,4,0.2,1.3,0,7.1,1.4
"Census Tract 8245.06, Cook County, Illinois",97.8,91.3,0.8,0.6,4.6,0,0.5,2.2
"Census Tract 8245.07, Cook County, Illinois",93.7,82.7,3,0.4,1.6,0,6,6.3
"Census Tract 8246.01, Cook County, Illinois",98.5,92.1,4,0,0.6,0,1.8,1.5
"Census Tract 8246.02, Cook County, Illinois",99.1,88.7,4.5,0.4,0.5,0,5.1,0.9
"Census Tract 8247.01, Cook County, Illinois",97.6,72.4,9.8,0,3.1,0,12.4,2.4
"Census Tract 8247.02, Cook County, Illinois",93.4,75.1,10,1.2,2.4,0,4.7,6.6
"Census Tract 8248, Cook County, Illinois",99.6,52.2,28.6,0.7,0,0,18.1,0.4
"Census Tract 8249, Cook County, Illinois",98.9,28.8,65,0,0,0,5.1,1.1
"Census Tract 8250, Cook County, Illinois",95,82.7,7,0.9,4.3,0,0.1,5
"Census Tract 8252, Cook County, Illinois",97.8,78.7,7.1,2.2,3.7,0,6.1,2.2
"Census Tract 8253.02, Cook County, Illinois",98.8,88.2,0.6,0,1.9,0,8.1,1.2
"Census Tract 8253.03, Cook County, Illinois",98.9,83.4,2,0,0.8,0,12.7,1.1
"Census Tract 8253.04, Cook County, Illinois",97.1,89.7,4.8,0,1.6,0,1.1,2.9
"Census Tract 8254, Cook County, Illinois",99.5,88.4,2.8,0.3,3.8,0,4.3,0.5
"Census Tract 8255.01, Cook County, Illinois",97.9,16,80.7,0.3,0.1,0,0.6,2.1
"Census Tract 8255.03, Cook County, Illinois",98.6,12.4,76.7,0,1.5,0,8,1.4
"Census Tract 8255.04, Cook County, Illinois",99.5,6.9,92.1,0,0.3,0,0.2,0.5
"Census Tract 8255.05, Cook County, Illinois",99.5,12.8,86.7,0,0,0,0,0.5
"Census Tract 8256, Cook County, Illinois",99.1,17.8,77.8,0,0.5,0,3,0.9
"Census Tract 8257, Cook County, Illinois",99.8,29,63.6,0,2.2,0,5,0.2
"Census Tract 8258.01, Cook County, Illinois",98.5,6.7,89,1.6,0,0,1.2,1.5
"Census Tract 8258.02, Cook County, Illinois",100,15.8,79.5,0,1.5,0,3.2,0
"Census Tract 8258.03, Cook County, Illinois",99.6,15.5,75.8,0,0.3,0,8.1,0.4
"Census Tract 8259, Cook County, Illinois",99.4,32.2,56.4,0,0.1,0,10.6,0.6
"Census Tract 8260, Cook County, Illinois",99.8,32.7,57.8,0,0,0,9.3,0.2
"Census Tract 8261, Cook County, Illinois",98.2,35.8,56,0.3,0,0,6.1,1.8
"Census Tract 8262.01, Cook County, Illinois",99.1,12.3,86.8,0,0,0,0,0.9
"Census Tract 8262.02, Cook County, Illinois",95.2,30.8,62.1,0,0.2,0,2.2,4.8
"Census Tract 8263.01, Cook County, Illinois",97.7,12.4,83.7,0,0.3,0,1.3,2.3
"Census Tract 8263.03, Cook County, Illinois",99.1,5.3,93.4,0,0.4,0,0,0.9
"Census Tract 8263.04, Cook County, Illinois",100,4,90.6,0,0,0,5.4,0
"Census Tract 8264.01, Cook County, Illinois",98.2,5.9,90.1,0,0.3,0,2,1.8
"Census Tract 8264.02, Cook County, Illinois",97.9,9.6,86.6,0.2,0,0,1.6,2.1
"Census Tract 8265, Cook County, Illinois",97.7,4.3,93.2,0,0.2,0,0,2.3
"Census Tract 8266, Cook County, Illinois",97,5.4,91.6,0,0,0,0,3
"Census Tract 8267, Cook County, Illinois",97.9,3.1,94.8,0,0,0,0,2.1
"Census Tract 8268, Cook County, Illinois",97.5,33.9,40,0.6,0,0,23.1,2.5
"Census Tract 8269.01, Cook County, Illinois",100,2.2,93.5,0.7,0,0,3.7,0
"Census Tract 8269.02, Cook County, Illinois",100,0.1,99.2,0,0.5,0,0.2,0
"Census Tract 8270, Cook County, Illinois",100,1.8,96,0,0.2,0,1.9,0
"Census Tract 8271, Cook County, Illinois",94.2,2.5,80.6,0,3.4,0,7.7,5.8
"Census Tract 8272, Cook County, Illinois",98.2,26.4,67,0,0.1,0,4.7,1.8
"Census Tract 8273, Cook County, Illinois",99.2,9.7,85.3,0.3,0,0,4,0.8
"Census Tract 8274, Cook County, Illinois",100,3.9,87.7,0,0,0,8.3,0
"Census Tract 8275, Cook County, Illinois",99.8,23.9,57.9,0,0,0,18,0.2
"Census Tract 8276, Cook County, Illinois",99.6,2.1,97.4,0,0,0,0,0.4
"Census Tract 8277, Cook County, Illinois",98.7,19.5,73.6,0,0.4,0,5.2,1.3
"Census Tract 8278.01, Cook County, Illinois",98.8,37.4,60.3,0,0.7,0.1,0.2,1.2
"Census Tract 8278.02, Cook County, Illinois",98.9,14.6,83.1,0,0.2,0,1,1.1
"Census Tract 8278.04, Cook County, Illinois",100,15.7,83.4,0,0.9,0,0,0
"Census Tract 8278.05, Cook County, Illinois",100,16.7,82.4,0,0,0,0.9,0
"Census Tract 8279.01, Cook County, Illinois",99.7,13,85.5,0,1.2,0,0,0.3
"Census Tract 8279.02, Cook County, Illinois",99.2,51.4,41.8,0,0.9,0,5.1,0.8
"Census Tract 8280, Cook County, Illinois",98,59.1,28.9,0,0.2,0,9.8,2
"Census Tract 8281, Cook County, Illinois",97.4,79.9,14.8,0,1.5,0,1.2,2.6
"Census Tract 8282.01, Cook County, Illinois",98.9,49.1,46.3,0.2,1.1,0,2.2,1.1
"Census Tract 8282.02, Cook County, Illinois",97.8,56.3,37.1,0,0.3,0,4.1,2.2
"Census Tract 8283, Cook County, Illinois",98.4,69.3,22.2,0.2,0.3,0,6.4,1.6
"Census Tract 8284.01, Cook County, Illinois",97.3,71.5,22.9,0,0.9,0,2,2.7
"Census Tract 8284.02, Cook County, Illinois",98.9,47.6,40.8,0.8,0.1,0,9.6,1.1
"Census Tract 8285.03, Cook County, Illinois",98.5,32,65.5,0,0,0,1,1.5
