Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 1611, Cook County, Illinois",96.2,79.1,1.6,0,13.5,0,1.9,3.8
"Census Tract 1612, Cook County, Illinois",95.4,76.9,0.5,0,11.1,0,6.9,4.6
"Census Tract 1613, Cook County, Illinois",97.1,88.2,2.4,0,1,0,5.4,2.9
"Census Tract 1701, Cook County, Illinois",100,91.3,1.9,0,6,0,0.7,0
"Census Tract 1702, Cook County, Illinois",99,79.8,0,2.4,1.5,0,15.3,1
"Census Tract 1703, Cook County, Illinois",98.8,83.4,0.1,0,5.2,0,10,1.2
"Census Tract 1704, Cook County, Illinois",99.5,94.9,0.3,0.2,3.4,0,0.8,0.5
"Census Tract 1705, Cook County, Illinois",99.5,94.5,3.2,0,0.9,0,1,0.5
"Census Tract 1706, Cook County, Illinois",98.3,81,2.3,0.1,8.7,0,6.1,1.7
"Census Tract 1707, Cook County, Illinois",98.9,91.5,0,0,5.9,0,1.6,1.1
"Census Tract 1708, Cook County, Illinois",98.7,87.8,0.3,0,2.6,0.2,7.9,1.3
"Census Tract 1709, Cook County, Illinois",100,82.5,5.1,0,0.3,0,12.1,0
"Census Tract 1710, Cook County, Illinois",99.7,84.2,1.7,0,3.3,0.6,9.9,0.3
"Census Tract 1711, Cook County, Illinois",97.3,68.9,0,0,3.4,0,24.9,2.7
"Census Tract 1801, Cook County, Illinois",99,69.4,1.7,0.5,8.8,0.3,18.3,1
"Census Tract 1901, Cook County, Illinois",99.2,37,2.3,0,2.2,0,57.6,0.8
"Census Tract 1902, Cook County, Illinois",93.5,38,1.8,0,2.2,0,51.5,6.5
"Census Tract 1903, Cook County, Illinois",98.5,59.7,0,0,1.3,0,37.5,1.5
"Census Tract 1904.01, Cook County, Illinois",99.6,68.7,0,0,0.9,0,29.9,0.4
"Census Tract 1904.02, Cook County, Illinois",94.4,50.7,3.6,0.2,4.2,0,35.7,5.6
"Census Tract 1906.01, Cook County, Illinois",100,32.5,3.3,0,2.7,0,61.5,0
"Census Tract 1906.02, Cook County, Illinois",98.8,41.9,9.1,0.3,0.6,0,46.9,1.2
"Census Tract 1907.01, Cook County, Illinois",97,49,3.1,0,0.7,0,44.1,3
"Census Tract 1907.02, Cook County, Illinois",99.6,35.3,5.2,0.3,0.6,0,58.3,0.4
"Census Tract 1908, Cook County, Illinois",96,28.1,3.6,0.4,1.4,0.2,62.4,4
"Census Tract 1909, Cook County, Illinois",99.8,33.8,10.6,0,0.4,0,55.1,0.2
"Census Tract 1910, Cook County, Illinois",97.7,37.8,4.5,0,0,0,55.3,2.3
"Census Tract 1911, Cook County, Illinois",97.8,26.8,7.3,0,0.4,0,63.3,2.2
"Census Tract 1912, Cook County, Illinois",99.7,25.4,1.9,0.4,0,0,72,0.3
"Census Tract 1913.01, Cook County, Illinois",99.3,29,11.6,1.3,0.7,0,56.7,0.7
"Census Tract 1913.02, Cook County, Illinois",99.2,43.3,5.3,0,0,0,50.6,0.8
"Census Tract 2001, Cook County, Illinois",98.6,41.1,1.1,0,2.7,0.9,52.7,1.4
"Census Tract 2002, Cook County, Illinois",99.4,23.4,0.7,0,0,0,75.2,0.6
"Census Tract 2003, Cook County, Illinois",96.1,36.1,0.9,0,0.7,0,58.3,3.9
"Census Tract 2004.01, Cook County, Illinois",99.4,43.4,1.2,0,0,0,54.8,0.6
"Census Tract 2004.02, Cook County, Illinois",97.6,26.9,1.9,0.3,0.2,0,68.3,2.4
"Census Tract 2101, Cook County, Illinois",94.1,76.8,4,0.9,2.6,0,9.9,5.9
"Census Tract 2104, Cook County, Illinois",98.4,81.3,1.6,0.3,7.4,0,7.7,1.6
"Census Tract 2105.01, Cook County, Illinois",98,79.9,4.3,3.7,1.4,0,8.7,2
