GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
"Census Tract 1201, Cook County, Illinois",96.8,89.9,0,5.9,0,1.1,3.2
"Census Tract 1202, Cook County, Illinois",94.9,81,2.3,9.6,0,2,5.1
"Census Tract 1203, Cook County, Illinois",97.9,77.2,1.1,18.1,0,1.4,2.1
"Census Tract 1204, Cook County, Illinois",96.4,65.9,0,17.8,0,12.7,3.6
"Census Tract 1301, Cook County, Illinois",98.7,72.9,2.2,22.8,0,0.6,1.3
"Census Tract 1302, Cook County, Illinois",98.8,80.2,1.4,17.2,0,0,1.2
"Census Tract 1303, Cook County, Illinois",95.4,52,4.1,33.3,0,5.1,4.6
"Census Tract 1401, Cook County, Illinois",97.8,56.3,9.1,11.3,0,21.1,2.2
"Census Tract 1402, Cook County, Illinois",95.7,55.2,5.7,17.7,0.9,16.2,4.3
"Census Tract 1403.01, Cook County, Illinois",99.6,35.7,2,25.7,0,36.2,0.4
"Census Tract 1403.02, Cook County, Illinois",93.9,50.3,5.1,19.8,0,18.7,6.1
"Census Tract 1404, Cook County, Illinois",94.1,57.9,0.2,28.6,0,7.4,5.9
"Census Tract 1405, Cook County, Illinois",92.6,55.3,4,17.4,0,15.9,7.4
"Census Tract 1406.01, Cook County, Illinois",97.7,35.7,1.2,24.6,0,36.2,2.3
"Census Tract 1406.02, Cook County, Illinois",95.7,47.9,6.4,7.1,0,34.4,4.3
"Census Tract 1407.01, Cook County, Illinois",93,53.6,4,14.4,0,20.2,7
"Census Tract 1407.02, Cook County, Illinois",98.9,64.9,6.7,7,0,20.2,1.1
"Census Tract 1408, Cook County, Illinois",94.9,71.8,4.1,7.2,0,11.9,5.1
"Census Tract 1502, Cook County, Illinois",96,72.4,1.6,6.6,0,15.5,4
"Census Tract 1503, Cook County, Illinois",92.8,68,3.2,1.1,0,20.5,7.2
"Census Tract 1504.01, Cook County, Illinois",93.7,79.3,1.1,4.5,0,8.6,6.3
"Census Tract 1504.02, Cook County, Illinois",98.7,72.8,0,4.5,0,21.4,1.3
"Census Tract 1505.01, Cook County, Illinois",96.2,78.1,3.1,3.6,0,11.4,3.8
"Census Tract 1505.02, Cook County, Illinois",96.7,62.3,0.5,8.5,0,25.4,3.3
"Census Tract 1506, Cook County, Illinois",97.6,71,0,4.5,0,22.1,2.4
"Census Tract 1507, Cook County, Illinois",97.5,79.9,0.4,3.2,0,13.8,2.5
"Census Tract 1508, Cook County, Illinois",96.9,59.3,1.4,6.2,0,29.9,3.1
"Census Tract 1510.01, Cook County, Illinois",98.3,63.9,5,4.5,0,23.5,1.7
"Census Tract 1510.02, Cook County, Illinois",96.2,58.9,0.4,4.4,1.2,31.1,3.8
"Census Tract 1511, Cook County, Illinois",97.2,63.1,0.2,5.1,0.7,28,2.8
"Census Tract 1512, Cook County, Illinois",96.7,80.1,0.2,2.6,0,13.8,3.3
"Census Tract 1601, Cook County, Illinois",92.9,68.1,0.5,20.5,0,2.2,7.1
"Census Tract 1602, Cook County, Illinois",98.3,80,2.7,6.8,0,7.3,1.7
"Census Tract 1603, Cook County, Illinois",97.2,71.4,8.4,10,0,7.2,2.8
"Census Tract 1604, Cook County, Illinois",96.9,71.3,4.1,2.4,0,19,3.1
"Census Tract 1605.01, Cook County, Illinois",98.3,70.1,2.3,9.6,0,16.4,1.7
"Census Tract 1605.02, Cook County, Illinois",98.4,74.3,1.5,8.2,0,14.5,1.6
"Census Tract 1606.01, Cook County, Illinois",97.9,78.3,0.1,6.6,0,12.8,2.1
"Census Tract 1606.02, Cook County, Illinois",93.7,74,2.1,9.1,0.7,7.8,6.3
"Census Tract 1607, Cook County, Illinois",96.7,70.8,6.1,10.4,0,9.3,3.3
"Census Tract 1608, Cook County, Illinois",96.7,75.9,0.3,11.1,0,9.4,3.3
"Census Tract 1609, Cook County, Illinois",99.3,82.6,1,14.6,0,1.1,0.7
"Census Tract 1610, Cook County, Illinois",99.1,84.7,0.8,2.4,0,11.1,0.9
"Census Tract 1611, Cook County, Illinois",93.6,83.4,2.2,7.1,0,0.8,6.4
"Census Tract 1612, Cook County, Illinois",93,76.1,0.6,6.3,0,10,7
"Census Tract 1613, Cook County, Illinois",97.7,89.7,2.7,0.5,0,4.9,2.3
"Census Tract 1701, Cook County, Illinois",100,89.3,5.3,3.3,0,2.1,0
"Census Tract 1702, Cook County, Illinois",99.2,80.1,0,3.2,0,15.6,0.8
"Census Tract 1703, Cook County, Illinois",98.1,79.8,0.1,5,0,12.9,1.9
"Census Tract 1704, Cook County, Illinois",99.2,94.8,1.4,2.3,0,0.6,0.8
"Census Tract 1705, Cook County, Illinois",98.1,88.5,3.4,3.5,0,2.6,1.9
"Census Tract 1706, Cook County, Illinois",96.9,79.3,5.3,5.6,0,6.5,3.1
"Census Tract 1707, Cook County, Illinois",97.7,83.5,0.3,9.5,0,4.4,2.3
"Census Tract 1708, Cook County, Illinois",98.3,91.9,0.3,3.3,0.1,2.6,1.7
"Census Tract 1709, Cook County, Illinois",100,78.7,4.2,0.6,0,16.5,0
"Census Tract 1710, Cook County, Illinois",99.5,84.2,5.3,4.9,0.3,4.5,0.5
"Census Tract 1711, Cook County, Illinois",96.2,80.1,2.1,4.4,0,9.5,3.8
"Census Tract 1801, Cook County, Illinois",99.4,69.1,2.5,6.8,0,21,0.6
"Census Tract 1901, Cook County, Illinois",96,37.8,1.4,5,0,51.8,4
"Census Tract 1902, Cook County, Illinois",93.1,40.9,2.1,2.6,0,47.5,6.9
"Census Tract 1903, Cook County, Illinois",98.3,62.2,1.4,1.7,0,32.6,1.7
"Census Tract 1904.01, Cook County, Illinois",99.6,67.8,0,0.2,0,31.2,0.4
"Census Tract 1904.02, Cook County, Illinois",96.8,58.1,1.8,2.5,0,33.7,3.2
"Census Tract 1906.01, Cook County, Illinois",100,49.1,7.6,2.2,0,41.1,0
"Census Tract 1906.02, Cook County, Illinois",98.2,41.8,2.2,2.9,0,50.9,1.8
"Census Tract 1907.01, Cook County, Illinois",95.7,51.8,2.9,0.6,0,40.5,4.3
"Census Tract 1907.02, Cook County, Illinois",99.4,48.7,5.5,0.6,0,44.4,0.6
"Census Tract 1908, Cook County, Illinois",96,33,1,0,0.2,61.2,4
"Census Tract 1909, Cook County, Illinois",99.7,28.6,4.3,0,0,66.7,0.3
"Census Tract 1910, Cook County, Illinois",94.4,47,3.8,0,0,43.5,5.6
"Census Tract 1911, Cook County, Illinois",97.5,34.2,3.5,0.6,0,58.7,2.5
"Census Tract 1912, Cook County, Illinois",98.9,28.7,1.2,0.4,0,68.3,1.1
"Census Tract 1913.01, Cook County, Illinois",98.3,30.1,7.1,2.9,0,58.3,1.7
"Census Tract 1913.02, Cook County, Illinois",98.2,47.9,8.6,0,0,41.7,1.8
"Census Tract 2001, Cook County, Illinois",97.2,44.4,2.5,4,0.8,44.6,2.8
"Census Tract 2002, Cook County, Illinois",98.7,37.2,2.2,1.8,0,57,1.3
"Census Tract 2003, Cook County, Illinois",97.7,35.1,1,2,0.2,59.5,2.3
"Census Tract 2004.01, Cook County, Illinois",98.6,39.6,1.9,1.4,0,54.6,1.4
"Census Tract 2004.02, Cook County, Illinois",95.7,32.6,1.2,0.2,0,61.6,4.3
"Census Tract 2101, Cook County, Illinois",94.9,75.7,2.9,6.4,0.8,7.9,5.1
"Census Tract 2104, Cook County, Illinois",98.4,86,2.5,2.3,0,7.2,1.6
"Census Tract 2105.01, Cook County, Illinois",97.6,85,2.9,1.1,0,4.3,2.4
"Census Tract 2105.02, Cook County, Illinois",97.5,89.9,2.4,0.3,0,4.6,2.5
"Census Tract 2106.01, Cook County, Illinois",98.5,77.8,2.6,5.2,0,11.8,1.5
"Census Tract 2106.02, Cook County, Illinois",98,87.7,3.8,2.2,0,4.1,2
"Census Tract 2107, Cook County, Illinois",97.7,88.3,0.7,3.8,0,4.6,2.3
"Census Tract 2108, Cook County, Illinois",99.1,80.6,0.7,2,0,15.7,0.9
"Census Tract 2109, Cook County, Illinois",99.6,82.7,4.5,5.2,0,7.2,0.4
"Census Tract 2203, Cook County, Illinois",94.5,82.8,4,1.8,0,5.6,5.5
"Census Tract 2204, Cook County, Illinois",98.4,86.7,0,3.5,0,8.2,1.6
"Census Tract 2205, Cook County, Illinois",97.4,87,6.6,1.7,0,2.1,2.6
"Census Tract 2206.01, Cook County, Illinois",98,81.1,11.7,0.6,0.2,4.5,2
"Census Tract 2206.02, Cook County, Illinois",98.3,82.7,4.7,6.4,0,3.2,1.7
"Census Tract 2207.01, Cook County, Illinois",98.8,81.2,5.5,0.5,0,11.4,1.2
"Census Tract 2207.02, Cook County, Illinois",96.4,74.5,8.1,2.1,0,11.8,3.6
