GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 1004, Cook County, Illinois",99,95.9,0.1,0,2.7,0,0.3,1
"Census Tract 1005, Cook County, Illinois",98,90.7,0.1,0,4.6,0,2.7,2
"Census Tract 1006, Cook County, Illinois",98.3,87.3,0,0,6.1,0,4.9,1.7
"Census Tract 1007, Cook County, Illinois",99.5,86.1,0.5,0,8.9,0,3.9,0.5
"Census Tract 1101, Cook County, Illinois",96.5,79.7,1.8,0,8.2,0,6.8,3.5
"Census Tract 1102, Cook County, Illinois",96.2,82.4,0,0.7,12.4,0,0.8,3.8
"Census Tract 1103, Cook County, Illinois",98.7,86.6,0.7,1.1,8.5,0,1.8,1.3
"Census Tract 1104, Cook County, Illinois",96.7,78,0.7,0,6.2,0,11.9,3.3
"Census Tract 1105.01, Cook County, Illinois",98.6,76.2,3.6,0,14.6,0,4.2,1.4
"Census Tract 1105.02, Cook County, Illinois",98.6,79.7,0.7,0,7.7,0,10.5,1.4
"Census Tract 1201, Cook County, Illinois",99.1,89,1.5,0,6.1,1.1,1.4,0.9
"Census Tract 1202, Cook County, Illinois",97.1,83.2,1.3,0.5,11.4,0,0.7,2.9
"Census Tract 1203, Cook County, Illinois",97,73.7,2.6,0,17.5,0,3.2,3
"Census Tract 1204, Cook County, Illinois",97.6,66.5,0.5,0,10.9,0,19.7,2.4
"Census Tract 1301, Cook County, Illinois",99.3,70.5,1.5,0.6,22.3,0,4.3,0.7
"Census Tract 1302, Cook County, Illinois",97.6,81.5,3.7,0,9.3,0,3.2,2.4
"Census Tract 1303, Cook County, Illinois",97.6,49.3,0.9,0,36.3,0,11.1,2.4
"Census Tract 1401, Cook County, Illinois",98.4,37.3,5.5,0,11.2,0,44.3,1.6
"Census Tract 1402, Cook County, Illinois",95.9,33.7,3.3,1.1,13.9,0,44,4.1
"Census Tract 1403.01, Cook County, Illinois",99.5,23.8,4.2,0,15.9,0,55.6,0.5
"Census Tract 1403.02, Cook County, Illinois",98.6,38.2,9.6,0,18.7,0,32.2,1.4
"Census Tract 1404, Cook County, Illinois",96.3,57.3,1.1,0,23,0,14.9,3.7
"Census Tract 1405, Cook County, Illinois",92.3,56,3.2,0.6,4.2,0,28.3,7.7
"Census Tract 1406.01, Cook County, Illinois",98.5,26.6,3.7,0,12.3,0,56,1.5
"Census Tract 1406.02, Cook County, Illinois",98.4,29,5.4,0,6.8,0,57.2,1.6
"Census Tract 1407.01, Cook County, Illinois",98.1,63.2,2.5,0,6.3,0,26,1.9
"Census Tract 1407.02, Cook County, Illinois",90.8,35.8,8.8,0.1,9.7,0,36.5,9.2
"Census Tract 1408, Cook County, Illinois",97.4,54,1.6,0.2,11.3,0.6,29.7,2.6
"Census Tract 1502, Cook County, Illinois",96.1,66.3,4.7,0,4,0,21.2,3.9
"Census Tract 1503, Cook County, Illinois",95.9,71.9,0.9,0,3.5,0,19.6,4.1
"Census Tract 1504.01, Cook County, Illinois",99.2,77,0,0,5.7,0,16.4,0.8
"Census Tract 1504.02, Cook County, Illinois",91.3,67.7,0,0,2.7,0,20.9,8.7
"Census Tract 1505.01, Cook County, Illinois",95,76.3,0.1,0,4.5,0,14.1,5
"Census Tract 1505.02, Cook County, Illinois",95.3,57.9,0.4,0,2,0,35.1,4.7
"Census Tract 1506, Cook County, Illinois",96.9,70.2,0.2,0,3.5,0,23,3.1
"Census Tract 1507, Cook County, Illinois",98.2,72.5,0.9,0.2,3.1,0,21.4,1.8
"Census Tract 1508, Cook County, Illinois",96,64.5,0.5,0,3.6,0,27.4,4
"Census Tract 1510.01, Cook County, Illinois",97,44.8,2.2,0.6,0,0,49.3,3
"Census Tract 1510.02, Cook County, Illinois",96.8,46.1,0.7,2,5.7,0.8,41.5,3.2
"Census Tract 1511, Cook County, Illinois",96,60.8,1.5,0.3,4.5,0,28.8,4
"Census Tract 1512, Cook County, Illinois",98.2,76.1,3.6,0,5.2,0,13.3,1.8
"Census Tract 1601, Cook County, Illinois",98.6,76.5,0,4.3,8,0,9.7,1.4
"Census Tract 1602, Cook County, Illinois",95.9,66.8,3.4,0.5,8.4,0,16.8,4.1
"Census Tract 1603, Cook County, Illinois",99,52.9,14.8,0.3,10.1,0,20.8,1
"Census Tract 1604, Cook County, Illinois",96.7,55.5,3.7,0,4.8,0,32.7,3.3
"Census Tract 1605.01, Cook County, Illinois",98.8,45.6,6.9,0,3.2,0,43.1,1.2
"Census Tract 1605.02, Cook County, Illinois",99.5,59.3,0,0,5.8,0,34.3,0.5
"Census Tract 1606.01, Cook County, Illinois",98.6,66,0.5,0,9.2,0,22.9,1.4
"Census Tract 1606.02, Cook County, Illinois",95.8,53.9,3.5,0,10.9,0,27.5,4.2
"Census Tract 1607, Cook County, Illinois",98.7,73.9,2.7,0,9.1,0,12.9,1.3
"Census Tract 1608, Cook County, Illinois",96.8,67.2,0.3,0,7.1,0,22.2,3.2
"Census Tract 1609, Cook County, Illinois",97.4,83.2,0.3,0,6,0,7.8,2.6
"Census Tract 1610, Cook County, Illinois",98.3,87.3,0.3,0.1,3.2,0,7.5,1.7
"Census Tract 1611, Cook County, Illinois",95.6,79.7,2.7,0,11.3,0,1.9,4.4
"Census Tract 1612, Cook County, Illinois",99,68.2,1,0,10.3,0,19.6,1
"Census Tract 1613, Cook County, Illinois",96.5,82.9,3.9,0,1,0,8.6,3.5
"Census Tract 1701, Cook County, Illinois",100,90.3,3.1,0,5.3,0,1.4,0
"Census Tract 1702, Cook County, Illinois",98,83.4,0,1.9,2.1,0,10.6,2
"Census Tract 1703, Cook County, Illinois",99.3,86.5,0,0,3.8,0,9,0.7
"Census Tract 1704, Cook County, Illinois",97,91,0.3,0.2,3.9,0,1.7,3
"Census Tract 1705, Cook County, Illinois",99.7,92.7,2.3,0,0.8,0,3.9,0.3
"Census Tract 1706, Cook County, Illinois",98.2,79.7,2.1,0.2,12.9,0,3.3,1.8
"Census Tract 1707, Cook County, Illinois",99.7,93,0,0,4.9,0,1.9,0.3
"Census Tract 1708, Cook County, Illinois",98.2,87.2,0.2,0,2.4,0.2,8.1,1.8
"Census Tract 1709, Cook County, Illinois",97.2,82.7,4.5,0,0,0,9.9,2.8
"Census Tract 1710, Cook County, Illinois",99.5,82.7,1.7,0,3.8,0.7,10.5,0.5
"Census Tract 1711, Cook County, Illinois",98.3,65.8,0,0,5.6,0,26.9,1.7
"Census Tract 1801, Cook County, Illinois",99.1,69.2,2.6,0.6,5.4,0.2,21.1,0.9
"Census Tract 1901, Cook County, Illinois",99.1,44.5,2.6,0,2.2,0,49.9,0.9
"Census Tract 1902, Cook County, Illinois",94.5,39.7,2.3,0,1,0,51.4,5.5
"Census Tract 1903, Cook County, Illinois",99.5,54.4,0.4,0,0.5,0,44.3,0.5
"Census Tract 1904.01, Cook County, Illinois",99.7,63.2,4,0,4.8,0,27.6,0.3
"Census Tract 1904.02, Cook County, Illinois",92,47.6,4.4,0,2.4,0,37.6,8
"Census Tract 1906.01, Cook County, Illinois",100,30.7,5.1,0,1.6,0,62.6,0
"Census Tract 1906.02, Cook County, Illinois",98.6,43.2,9.9,0.3,0.2,0,45,1.4
"Census Tract 1907.01, Cook County, Illinois",97.5,47.2,2.8,0,0,0,47.6,2.5
"Census Tract 1907.02, Cook County, Illinois",99.5,41.4,5.1,0.2,0.8,0,52,0.5
"Census Tract 1908, Cook County, Illinois",96.2,30.8,3.8,0.7,3.2,0.2,57.5,3.8
"Census Tract 1909, Cook County, Illinois",100,35.7,14.7,0,0.4,0,49.3,0
"Census Tract 1910, Cook County, Illinois",97.7,39.9,3.1,0,0,0,54.7,2.3
"Census Tract 1911, Cook County, Illinois",97.9,24.7,8.1,0,0.9,0,64.2,2.1
"Census Tract 1912, Cook County, Illinois",100,22.4,2.3,0.3,0,0,75,0
"Census Tract 1913.01, Cook County, Illinois",99.6,32.2,13.7,1.5,1.3,0,51,0.4
"Census Tract 1913.02, Cook County, Illinois",99.6,43.9,3.3,0,0,0,52.5,0.4
"Census Tract 2001, Cook County, Illinois",99.4,41.4,0,0.5,1.3,0.8,55.4,0.6
"Census Tract 2002, Cook County, Illinois",99.1,24.6,0.8,0,0.7,0,73,0.9
"Census Tract 2003, Cook County, Illinois",96.6,29.9,0.5,0,0,0,66.2,3.4
"Census Tract 2004.01, Cook County, Illinois",98.2,48.1,1.3,0,0,0,48.9,1.8
"Census Tract 2004.02, Cook County, Illinois",97.3,28.3,2,0.3,0.3,0,66.4,2.7
"Census Tract 2101, Cook County, Illinois",94.6,68.4,6.7,0.7,1.5,0,17.4,5.4
"Census Tract 2104, Cook County, Illinois",98.1,76,1.5,0.3,4.8,0,15.5,1.9
"Census Tract 2105.01, Cook County, Illinois",99,74.6,4.4,4.3,4,0,11.8,1
"Census Tract 2105.02, Cook County, Illinois",98.6,81.5,2.4,0,0.1,0,14.6,1.4
"Census Tract 2106.01, Cook County, Illinois",99.4,77.6,1.1,0,4.4,0,16.2,0.6
"Census Tract 2106.02, Cook County, Illinois",97.5,83.8,1.6,0,0.4,0,11.7,2.5
"Census Tract 2107, Cook County, Illinois",97.9,81.7,3.1,0.2,3.1,0,10,2.1
"Census Tract 2108, Cook County, Illinois",99.8,65.7,1.3,0,0,0,32.8,0.2
"Census Tract 2109, Cook County, Illinois",96.3,60.5,5.7,0,6.2,0,23.9,3.7
"Census Tract 2203, Cook County, Illinois",98.4,89.3,3.7,0.1,1.9,0,3.5,1.6
"Census Tract 2204, Cook County, Illinois",96.8,72.9,3.1,0.3,4.4,0,16,3.2
"Census Tract 2205, Cook County, Illinois",97.8,81.1,10.9,0,2.9,0,2.9,2.2
"Census Tract 2206.01, Cook County, Illinois",100,79.9,11.1,0,0.3,0,8.6,0
"Census Tract 2206.02, Cook County, Illinois",97.6,73.7,8.9,0,6,0,9,2.4
"Census Tract 2207.01, Cook County, Illinois",100,87.9,8.3,0,1.6,0,2.3,0
"Census Tract 2207.02, Cook County, Illinois",98,79.8,5.2,0,0.8,0,12.2,2
"Census Tract 2209.01, Cook County, Illinois",95.9,61.9,17.1,1.7,1.6,0,13.6,4.1
"Census Tract 2209.02, Cook County, Illinois",98.5,84,7.4,0,0.7,0,6.4,1.5
"Census Tract 2210, Cook County, Illinois",100,78.9,11,0.6,1.1,0,8.4,0
"Census Tract 2211, Cook County, Illinois",93.3,70.2,12.9,0.3,1.9,0,8.1,6.7
"Census Tract 2212, Cook County, Illinois",95.9,70,4.3,0,1.3,0,20.4,4.1
"Census Tract 2213, Cook County, Illinois",97.1,79.9,5.7,0.8,2.9,0,7.9,2.9
"Census Tract 2214, Cook County, Illinois",99.7,90.1,4.6,0,1.6,0,3.4,0.3
"Census Tract 2215, Cook County, Illinois",97.2,81.2,6.5,0.4,4.6,0,4.5,2.8
"Census Tract 2216, Cook County, Illinois",97.8,87.1,1,0,4.6,0,5,2.2
"Census Tract 2222, Cook County, Illinois",99.1,81.8,2.5,0,13.3,0,1.5,0.9
"Census Tract 2225, Cook County, Illinois",99.4,82.7,8.6,0,0,0,8.1,0.6
"Census Tract 2226, Cook County, Illinois",98.7,80.2,7.1,0,2.8,0,8.6,1.3
"Census Tract 2227, Cook County, Illinois",98,79.2,5.9,0,0,0,12.8,2
"Census Tract 2228, Cook County, Illinois",100,60.6,37.3,0,0,0,2,0
"Census Tract 2229, Cook County, Illinois",100,78.6,7.6,0,0,0,13.7,0
"Census Tract 2301, Cook County, Illinois",99.3,56.2,9,0,0.5,0,33.6,0.7
"Census Tract 2302, Cook County, Illinois",86.1,36.4,17.2,0,0,0,32.5,13.9
"Census Tract 2303, Cook County, Illinois",100,50.7,7.5,0,1,0,40.8,0
"Census Tract 2304, Cook County, Illinois",96.9,42.2,3.4,1.7,0.3,0,49.4,3.1
"Census Tract 2305, Cook County, Illinois",98,50.2,10.4,0,0,0,37.4,2
